Category,Experiment,Model,Model_Status,Feature_Count,Threshold,Evaluation_Protocol,Dataset_Split,Metric,Value,Unit,Notes
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Test_Negatives_Count,295,count,Sampled negative non-relationship entity pairs in held-out test split
7. MODEL / TRAINING INFORMATION,Model Metadata & Hyperparameters,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout Protocol,System Metadata,Features_Count,14,count,Number of topological and behavioral features (14)
8. LEAKAGE / VALIDATION AUDIT,Zero-Leakage Compliance Audit,RandomForestClassifier,Production Champion,14,N/A,Rigorous Leakage Audit,Training & Test Splits,Edge_Holdout_Enforced,True,boolean,Ground truth positive edges split into 80% train / 20% test before feature generation
8. LEAKAGE / VALIDATION AUDIT,Zero-Leakage Compliance Audit,RandomForestClassifier,Production Champion,14,N/A,Rigorous Leakage Audit,Training & Test Splits,Held_Out_Edges_in_G_Train,0,count,Number of held-out test edges present in training graph (verified exact 0)
8. LEAKAGE / VALIDATION AUDIT,Zero-Leakage Compliance Audit,RandomForestClassifier,Production Champion,14,N/A,Rigorous Leakage Audit,Training & Test Splits,Candidate_Edge_Masking,True,boolean,Dynamic candidate edge masking applied during positive train feature extraction
8. LEAKAGE / VALIDATION AUDIT,Zero-Leakage Compliance Audit,RandomForestClassifier,Production Champion,14,N/A,Rigorous Leakage Audit,Training & Test Splits,Negative_Sampling_Integrity,PASS (0 Overlap),status,Negative non-link samples verified zero overlap with positive train and test edges
8. LEAKAGE / VALIDATION AUDIT,Zero-Leakage Compliance Audit,RandomForestClassifier,Production Champion,14,N/A,Rigorous Leakage Audit,Training & Test Splits,Label_Exclusion,PASS (Excluded),status,Target relationship labels strictly excluded from feature space
8. LEAKAGE / VALIDATION AUDIT,Zero-Leakage Compliance Audit,RandomForestClassifier,Production Champion,14,N/A,Rigorous Leakage Audit,Training & Test Splits,Fold_Specific_Graph_Construction,PASS (Isolated),status,Every CV fold rebuilds its isolated subgraph G_fold with 0 validation edges
8. LEAKAGE / VALIDATION AUDIT,Zero-Leakage Compliance Audit,RandomForestClassifier,Production Champion,14,N/A,Rigorous Leakage Audit,Training & Test Splits,Final_Test_Untouched_During_Tuning,PASS (Untouched),status,"Zero final test data used for feature selection, model selection, or tuning"
8. LEAKAGE / VALIDATION AUDIT,Zero-Leakage Compliance Audit,RandomForestClassifier,Production Champion,14,N/A,Rigorous Leakage Audit,Training & Test Splits,Graph_Validation_Result,PASS (5/5 checks),status,Full structural collapse and traversal sanity check passed
9. GRAPH VALIDATION,Graph Engine Validation Suite,GraphEngine,Production,N/A,N/A,Deterministic Verification,Full Canonical Graph,SHARED_PGP_AND_WALLET_Collapse,PASS (0 Violations),status,All 2656 shared PGP/wallet edges correctly map to identical canonical entities
9. GRAPH VALIDATION,Graph Engine Validation Suite,GraphEngine,Production,N/A,N/A,Deterministic Verification,Full Canonical Graph,Known_Connection_Spot_Check,PASS (10/10 Found),status,10/10 verified ground truth cross-entity connections discovered via graph engine traversal
9. GRAPH VALIDATION,Graph Engine Validation Suite,GraphEngine,Production,N/A,N/A,Deterministic Verification,Full Canonical Graph,Multi_Hop_Confidence_Decay,PASS (Decays Correctly),status,Multi-hop traversal path confidence decays monotonically across increasing hops
9. GRAPH VALIDATION,Graph Engine Validation Suite,GraphEngine,Production,N/A,N/A,Deterministic Verification,Full Canonical Graph,Isolated_Entity_Test,PASS (connected=false),status,Isolated entity E-AshenSerpent63 correctly returns connected=false
9. GRAPH VALIDATION,Graph Engine Validation Suite,GraphEngine,Production,N/A,N/A,Deterministic Verification,Full Canonical Graph,Aka_Persona_IDs_Completeness,PASS (1833/1833 Complete),status,All 1833 dark web persona records completely mapped to canonical entity handles
10. INFERENCE SANITY CHECK,Inference Pair: E-AshenArc682 <-> E-IronCrypt324,RandomForestClassifier,Production Champion,14,N/A,predict_link_probability(),Live Graph Inference,Link_Probability,0.5655,probability,High-confidence positive link probability (Ground-truth collaboration)
10. INFERENCE SANITY CHECK,Inference Pair: E-AshenArc682 <-> E-AzureHawk831,RandomForestClassifier,Production Champion,14,N/A,predict_link_probability(),Live Graph Inference,Link_Probability,0.4954,probability,Moderate indirect link probability (Indirect multi-hop connection)
10. INFERENCE SANITY CHECK,Inference Pair: E-AshenSerpent63 <-> E-AzureHawk831,RandomForestClassifier,Production Champion,14,N/A,predict_link_probability(),Live Graph Inference,Link_Probability,0.3265,probability,Low probability link (Isolated component / verified non-edge)
11. PERFORMANCE / TIMING,Pipeline Execution Benchmarks,RandomForestClassifier,Production Champion,14,N/A,Benchmarked Runtime,Execution Timing,Train_Feature_Generation_Time,0.234,seconds,Wall-clock time to generate 2360 training feature rows with dynamic masking
11. PERFORMANCE / TIMING,Pipeline Execution Benchmarks,RandomForestClassifier,Production Champion,14,N/A,Benchmarked Runtime,Execution Timing,Test_Feature_Generation_Time,0.064,seconds,Wall-clock time to generate 590 held-out test feature rows from G_train
11. PERFORMANCE / TIMING,Pipeline Execution Benchmarks,RandomForestClassifier,Production Champion,14,N/A,Benchmarked Runtime,Execution Timing,Model_Training_Time,2.1,seconds,Wall-clock time to train the 100-tree Random Forest classifier on G_train
11. PERFORMANCE / TIMING,Pipeline Execution Benchmarks,RandomForestClassifier,Production Champion,14,N/A,Benchmarked Runtime,Execution Timing,Evaluation_Time,0.936,seconds,Wall-clock time to compute predictions and all metrics on unseen test set
11. PERFORMANCE / TIMING,Pipeline Execution Benchmarks,RandomForestClassifier,Production Champion,14,N/A,Benchmarked Runtime,Execution Timing,Total_Pipeline_Execution_Time,3.334,seconds,"Total end-to-end execution time of feature generation, training, and evaluation"
12. EXPERIMENT / ABLATION RESULTS,A. Baseline (All 17 Features),RandomForestClassifier,Research Candidate,17,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.6619,score,5-fold cross validation result for feature experiment 'A. Baseline (All 17 Features)'
12. EXPERIMENT / ABLATION RESULTS,A. Baseline (All 17 Features),RandomForestClassifier,Research Candidate,17,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.0216,score,5-fold cross validation result for feature experiment 'A. Baseline (All 17 Features)'
12. EXPERIMENT / ABLATION RESULTS,A. Baseline (All 17 Features),RandomForestClassifier,Research Candidate,17,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.6571,score,5-fold cross validation result for feature experiment 'A. Baseline (All 17 Features)'
12. EXPERIMENT / ABLATION RESULTS,A. Baseline (All 17 Features),RandomForestClassifier,Research Candidate,17,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.0173,score,5-fold cross validation result for feature experiment 'A. Baseline (All 17 Features)'
12. EXPERIMENT / ABLATION RESULTS,A. Baseline (All 17 Features),RandomForestClassifier,Research Candidate,17,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.4761,score,5-fold cross validation result for feature experiment 'A. Baseline (All 17 Features)'
12. EXPERIMENT / ABLATION RESULTS,A. Baseline (All 17 Features),RandomForestClassifier,Research Candidate,17,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Precision_Mean,0.7368,ratio,5-fold cross validation result for feature experiment 'A. Baseline (All 17 Features)'
12. EXPERIMENT / ABLATION RESULTS,A. Baseline (All 17 Features),RandomForestClassifier,Research Candidate,17,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Recall_Mean,0.3525,ratio,5-fold cross validation result for feature experiment 'A. Baseline (All 17 Features)'
12. EXPERIMENT / ABLATION RESULTS,A. Baseline (All 17 Features),RandomForestClassifier,Research Candidate,17,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_MCC_Mean,0.266,coefficient,5-fold cross validation result for feature experiment 'A. Baseline (All 17 Features)'
12. EXPERIMENT / ABLATION RESULTS,B. Ablation: Remove same_community,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.6863,score,5-fold cross validation result for feature experiment 'B. Ablation: Remove same_community'
12. EXPERIMENT / ABLATION RESULTS,B. Ablation: Remove same_community,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.0169,score,5-fold cross validation result for feature experiment 'B. Ablation: Remove same_community'
12. EXPERIMENT / ABLATION RESULTS,B. Ablation: Remove same_community,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.6523,score,5-fold cross validation result for feature experiment 'B. Ablation: Remove same_community'
12. EXPERIMENT / ABLATION RESULTS,B. Ablation: Remove same_community,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.0106,score,5-fold cross validation result for feature experiment 'B. Ablation: Remove same_community'
12. EXPERIMENT / ABLATION RESULTS,B. Ablation: Remove same_community,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.5589,score,5-fold cross validation result for feature experiment 'B. Ablation: Remove same_community'
12. EXPERIMENT / ABLATION RESULTS,B. Ablation: Remove same_community,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Precision_Mean,0.6688,ratio,5-fold cross validation result for feature experiment 'B. Ablation: Remove same_community'
12. EXPERIMENT / ABLATION RESULTS,B. Ablation: Remove same_community,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Recall_Mean,0.4805,ratio,5-fold cross validation result for feature experiment 'B. Ablation: Remove same_community'
12. EXPERIMENT / ABLATION RESULTS,B. Ablation: Remove same_community,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_MCC_Mean,0.2527,coefficient,5-fold cross validation result for feature experiment 'B. Ablation: Remove same_community'
12. EXPERIMENT / ABLATION RESULTS,C. Ablation: Remove graph_link_strength,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.6614,score,5-fold cross validation result for feature experiment 'C. Ablation: Remove graph_link_strength'
12. EXPERIMENT / ABLATION RESULTS,C. Ablation: Remove graph_link_strength,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.0219,score,5-fold cross validation result for feature experiment 'C. Ablation: Remove graph_link_strength'
12. EXPERIMENT / ABLATION RESULTS,C. Ablation: Remove graph_link_strength,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.6558,score,5-fold cross validation result for feature experiment 'C. Ablation: Remove graph_link_strength'
12. EXPERIMENT / ABLATION RESULTS,C. Ablation: Remove graph_link_strength,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.0174,score,5-fold cross validation result for feature experiment 'C. Ablation: Remove graph_link_strength'
12. EXPERIMENT / ABLATION RESULTS,C. Ablation: Remove graph_link_strength,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.4752,score,5-fold cross validation result for feature experiment 'C. Ablation: Remove graph_link_strength'
12. EXPERIMENT / ABLATION RESULTS,C. Ablation: Remove graph_link_strength,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Precision_Mean,0.7431,ratio,5-fold cross validation result for feature experiment 'C. Ablation: Remove graph_link_strength'
12. EXPERIMENT / ABLATION RESULTS,C. Ablation: Remove graph_link_strength,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Recall_Mean,0.35,ratio,5-fold cross validation result for feature experiment 'C. Ablation: Remove graph_link_strength'
12. EXPERIMENT / ABLATION RESULTS,C. Ablation: Remove graph_link_strength,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_MCC_Mean,0.2703,coefficient,5-fold cross validation result for feature experiment 'C. Ablation: Remove graph_link_strength'
12. EXPERIMENT / ABLATION RESULTS,D. Ablation: Remove path_confidence,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.6628,score,5-fold cross validation result for feature experiment 'D. Ablation: Remove path_confidence'
12. EXPERIMENT / ABLATION RESULTS,D. Ablation: Remove path_confidence,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.0227,score,5-fold cross validation result for feature experiment 'D. Ablation: Remove path_confidence'
12. EXPERIMENT / ABLATION RESULTS,D. Ablation: Remove path_confidence,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.655,score,5-fold cross validation result for feature experiment 'D. Ablation: Remove path_confidence'
12. EXPERIMENT / ABLATION RESULTS,D. Ablation: Remove path_confidence,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.0197,score,5-fold cross validation result for feature experiment 'D. Ablation: Remove path_confidence'
12. EXPERIMENT / ABLATION RESULTS,D. Ablation: Remove path_confidence,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.4678,score,5-fold cross validation result for feature experiment 'D. Ablation: Remove path_confidence'
12. EXPERIMENT / ABLATION RESULTS,D. Ablation: Remove path_confidence,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Precision_Mean,0.7408,ratio,5-fold cross validation result for feature experiment 'D. Ablation: Remove path_confidence'
12. EXPERIMENT / ABLATION RESULTS,D. Ablation: Remove path_confidence,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Recall_Mean,0.3424,ratio,5-fold cross validation result for feature experiment 'D. Ablation: Remove path_confidence'
12. EXPERIMENT / ABLATION RESULTS,D. Ablation: Remove path_confidence,RandomForestClassifier,Research Candidate,16,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_MCC_Mean,0.2642,coefficient,5-fold cross validation result for feature experiment 'D. Ablation: Remove path_confidence'
12. EXPERIMENT / ABLATION RESULTS,E. Ablation: Remove community + path + link_strength,RandomForestClassifier,Research Candidate,14,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.6889,score,5-fold cross validation result for feature experiment 'E. Ablation: Remove community + path + link_strength'
12. EXPERIMENT / ABLATION RESULTS,E. Ablation: Remove community + path + link_strength,RandomForestClassifier,Research Candidate,14,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.0219,score,5-fold cross validation result for feature experiment 'E. Ablation: Remove community + path + link_strength'
12. EXPERIMENT / ABLATION RESULTS,E. Ablation: Remove community + path + link_strength,RandomForestClassifier,Research Candidate,14,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.6531,score,5-fold cross validation result for feature experiment 'E. Ablation: Remove community + path + link_strength'
12. EXPERIMENT / ABLATION RESULTS,E. Ablation: Remove community + path + link_strength,RandomForestClassifier,Research Candidate,14,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.0109,score,5-fold cross validation result for feature experiment 'E. Ablation: Remove community + path + link_strength'
12. EXPERIMENT / ABLATION RESULTS,E. Ablation: Remove community + path + link_strength,RandomForestClassifier,Research Candidate,14,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.552,score,5-fold cross validation result for feature experiment 'E. Ablation: Remove community + path + link_strength'
12. EXPERIMENT / ABLATION RESULTS,E. Ablation: Remove community + path + link_strength,RandomForestClassifier,Research Candidate,14,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Precision_Mean,0.6828,ratio,5-fold cross validation result for feature experiment 'E. Ablation: Remove community + path + link_strength'
12. EXPERIMENT / ABLATION RESULTS,E. Ablation: Remove community + path + link_strength,RandomForestClassifier,Research Candidate,14,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Recall_Mean,0.4644,ratio,5-fold cross validation result for feature experiment 'E. Ablation: Remove community + path + link_strength'
12. EXPERIMENT / ABLATION RESULTS,E. Ablation: Remove community + path + link_strength,RandomForestClassifier,Research Candidate,14,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_MCC_Mean,0.261,coefficient,5-fold cross validation result for feature experiment 'E. Ablation: Remove community + path + link_strength'
12. EXPERIMENT / ABLATION RESULTS,F1. Baseline + Normalized Topo Similarities,RandomForestClassifier,Research Candidate,22,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.6692,score,5-fold cross validation result for feature experiment 'F1. Baseline + Normalized Topo Similarities'
12. EXPERIMENT / ABLATION RESULTS,F1. Baseline + Normalized Topo Similarities,RandomForestClassifier,Research Candidate,22,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.0211,score,5-fold cross validation result for feature experiment 'F1. Baseline + Normalized Topo Similarities'
12. EXPERIMENT / ABLATION RESULTS,F1. Baseline + Normalized Topo Similarities,RandomForestClassifier,Research Candidate,22,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.6574,score,5-fold cross validation result for feature experiment 'F1. Baseline + Normalized Topo Similarities'
12. EXPERIMENT / ABLATION RESULTS,F1. Baseline + Normalized Topo Similarities,RandomForestClassifier,Research Candidate,22,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.0234,score,5-fold cross validation result for feature experiment 'F1. Baseline + Normalized Topo Similarities'
12. EXPERIMENT / ABLATION RESULTS,F1. Baseline + Normalized Topo Similarities,RandomForestClassifier,Research Candidate,22,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.4858,score,5-fold cross validation result for feature experiment 'F1. Baseline + Normalized Topo Similarities'
12. EXPERIMENT / ABLATION RESULTS,F1. Baseline + Normalized Topo Similarities,RandomForestClassifier,Research Candidate,22,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Precision_Mean,0.7413,ratio,5-fold cross validation result for feature experiment 'F1. Baseline + Normalized Topo Similarities'
12. EXPERIMENT / ABLATION RESULTS,F1. Baseline + Normalized Topo Similarities,RandomForestClassifier,Research Candidate,22,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Recall_Mean,0.3627,ratio,5-fold cross validation result for feature experiment 'F1. Baseline + Normalized Topo Similarities'
12. EXPERIMENT / ABLATION RESULTS,F1. Baseline + Normalized Topo Similarities,RandomForestClassifier,Research Candidate,22,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_MCC_Mean,0.2749,coefficient,5-fold cross validation result for feature experiment 'F1. Baseline + Normalized Topo Similarities'
12. EXPERIMENT / ABLATION RESULTS,F2. Baseline + Relational Triadic Features,RandomForestClassifier,Research Candidate,20,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.67,score,5-fold cross validation result for feature experiment 'F2. Baseline + Relational Triadic Features'
12. EXPERIMENT / ABLATION RESULTS,F2. Baseline + Relational Triadic Features,RandomForestClassifier,Research Candidate,20,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.019,score,5-fold cross validation result for feature experiment 'F2. Baseline + Relational Triadic Features'
12. EXPERIMENT / ABLATION RESULTS,F2. Baseline + Relational Triadic Features,RandomForestClassifier,Research Candidate,20,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.6566,score,5-fold cross validation result for feature experiment 'F2. Baseline + Relational Triadic Features'
12. EXPERIMENT / ABLATION RESULTS,F2. Baseline + Relational Triadic Features,RandomForestClassifier,Research Candidate,20,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.019,score,5-fold cross validation result for feature experiment 'F2. Baseline + Relational Triadic Features'
12. EXPERIMENT / ABLATION RESULTS,F2. Baseline + Relational Triadic Features,RandomForestClassifier,Research Candidate,20,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.4878,score,5-fold cross validation result for feature experiment 'F2. Baseline + Relational Triadic Features'
12. EXPERIMENT / ABLATION RESULTS,F2. Baseline + Relational Triadic Features,RandomForestClassifier,Research Candidate,20,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Precision_Mean,0.7328,ratio,5-fold cross validation result for feature experiment 'F2. Baseline + Relational Triadic Features'
12. EXPERIMENT / ABLATION RESULTS,F2. Baseline + Relational Triadic Features,RandomForestClassifier,Research Candidate,20,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Recall_Mean,0.3661,ratio,5-fold cross validation result for feature experiment 'F2. Baseline + Relational Triadic Features'
12. EXPERIMENT / ABLATION RESULTS,F2. Baseline + Relational Triadic Features,RandomForestClassifier,Research Candidate,20,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_MCC_Mean,0.269,coefficient,5-fold cross validation result for feature experiment 'F2. Baseline + Relational Triadic Features'
12. EXPERIMENT / ABLATION RESULTS,F3. Baseline + Market Ratio,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.6644,score,5-fold cross validation result for feature experiment 'F3. Baseline + Market Ratio'
12. EXPERIMENT / ABLATION RESULTS,F3. Baseline + Market Ratio,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.0224,score,5-fold cross validation result for feature experiment 'F3. Baseline + Market Ratio'
12. EXPERIMENT / ABLATION RESULTS,F3. Baseline + Market Ratio,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.6577,score,5-fold cross validation result for feature experiment 'F3. Baseline + Market Ratio'
12. EXPERIMENT / ABLATION RESULTS,F3. Baseline + Market Ratio,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.0205,score,5-fold cross validation result for feature experiment 'F3. Baseline + Market Ratio'
12. EXPERIMENT / ABLATION RESULTS,F3. Baseline + Market Ratio,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.4773,score,5-fold cross validation result for feature experiment 'F3. Baseline + Market Ratio'
12. EXPERIMENT / ABLATION RESULTS,F3. Baseline + Market Ratio,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Precision_Mean,0.7357,ratio,5-fold cross validation result for feature experiment 'F3. Baseline + Market Ratio'
12. EXPERIMENT / ABLATION RESULTS,F3. Baseline + Market Ratio,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Recall_Mean,0.3542,ratio,5-fold cross validation result for feature experiment 'F3. Baseline + Market Ratio'
12. EXPERIMENT / ABLATION RESULTS,F3. Baseline + Market Ratio,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_MCC_Mean,0.2655,coefficient,5-fold cross validation result for feature experiment 'F3. Baseline + Market Ratio'
12. EXPERIMENT / ABLATION RESULTS,F4. Full Extended Candidate Set (26 Features),RandomForestClassifier,Research Candidate,26,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.6646,score,5-fold cross validation result for feature experiment 'F4. Full Extended Candidate Set (26 Features)'
12. EXPERIMENT / ABLATION RESULTS,F4. Full Extended Candidate Set (26 Features),RandomForestClassifier,Research Candidate,26,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.0205,score,5-fold cross validation result for feature experiment 'F4. Full Extended Candidate Set (26 Features)'
12. EXPERIMENT / ABLATION RESULTS,F4. Full Extended Candidate Set (26 Features),RandomForestClassifier,Research Candidate,26,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.657,score,5-fold cross validation result for feature experiment 'F4. Full Extended Candidate Set (26 Features)'
12. EXPERIMENT / ABLATION RESULTS,F4. Full Extended Candidate Set (26 Features),RandomForestClassifier,Research Candidate,26,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.0187,score,5-fold cross validation result for feature experiment 'F4. Full Extended Candidate Set (26 Features)'
12. EXPERIMENT / ABLATION RESULTS,F4. Full Extended Candidate Set (26 Features),RandomForestClassifier,Research Candidate,26,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.4846,score,5-fold cross validation result for feature experiment 'F4. Full Extended Candidate Set (26 Features)'
12. EXPERIMENT / ABLATION RESULTS,F4. Full Extended Candidate Set (26 Features),RandomForestClassifier,Research Candidate,26,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Precision_Mean,0.7465,ratio,5-fold cross validation result for feature experiment 'F4. Full Extended Candidate Set (26 Features)'
12. EXPERIMENT / ABLATION RESULTS,F4. Full Extended Candidate Set (26 Features),RandomForestClassifier,Research Candidate,26,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_Recall_Mean,0.3593,ratio,5-fold cross validation result for feature experiment 'F4. Full Extended Candidate Set (26 Features)'
12. EXPERIMENT / ABLATION RESULTS,F4. Full Extended Candidate Set (26 Features),RandomForestClassifier,Research Candidate,26,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_MCC_Mean,0.2775,coefficient,5-fold cross validation result for feature experiment 'F4. Full Extended Candidate Set (26 Features)'
12. EXPERIMENT / ABLATION RESULTS,+ Single: cosine_similarity,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Mean,0.6667,score,5-fold cross validation result for feature experiment '+ Single: cosine_similarity'
12. EXPERIMENT / ABLATION RESULTS,+ Single: cosine_similarity,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_PR_AUC_Std,0.0235,score,5-fold cross validation result for feature experiment '+ Single: cosine_similarity'
12. EXPERIMENT / ABLATION RESULTS,+ Single: cosine_similarity,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Mean,0.6568,score,5-fold cross validation result for feature experiment '+ Single: cosine_similarity'
12. EXPERIMENT / ABLATION RESULTS,+ Single: cosine_similarity,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_ROC_AUC_Std,0.0208,score,5-fold cross validation result for feature experiment '+ Single: cosine_similarity'
12. EXPERIMENT / ABLATION RESULTS,+ Single: cosine_similarity,RandomForestClassifier,Research Candidate,18,N/A,5-Fold Graph-Aware Edge CV,Training Split (G_train),CV_F1_Mean,0.4814,score,5-fold cross validation result for feature experiment '+ Single: cosine_similarity'
